ekatte;t_v_m;name;oblast;obstina;kmetstvo;kind;category;altitude;document;tsb;abc
00000;;Състояние към: 8.7.2022 г.;;;;;;;;;
00014;с.;Абланица;BLG;BLG52;BLG52-01;3;5;6;1999;SW;1
00028;с.;Абланица;LOV;LOV18;LOV18-01;3;7;5;1999;NW;2
00881;с.;Абланица;PAZ;PAZ08;PAZ08-01;3;6;8;1999;S;3
00031;с.;Абрит;DOB;DOB20;DOB20-01;3;7;3;1999;NE;4
00059;с.;Аврамово;BLG;BLG53;BLG53-01;3;5;7;1999;SW;5
00062;с.;Аврамово;KRZ;KRZ02;KRZ02-19;3;8;6;1999;S;6
00084;с.;Аврен;VAR;VAR01;VAR01-00;3;5;4;1999;NE;7
00093;с.;Аврен;KRZ;KRZ15;KRZ15-01;3;6;6;1999;S;8
00103;с.;Агатово;GAB;GAB29;GAB29-01;3;7;5;1999;N;9
00117;с.;Азманите;GAB;GAB35;GAB35-00;3;8;6;1999;N;10
00895;с.;Айдемир;SLS;SLS31;SLS31-01;3;4;1;1999;N;11
00148;с.;Айрово;KRZ;KRZ16;KRZ16-50;3;5;4;1999;S;12
00151;гр.;Айтос;BGS;BGS01;BGS01-00;1;2;2;1999;SE;13
00165;с.;Аканджиево;PAZ;PAZ04;PAZ04-07;3;6;4;1999;S;14
00179;с.;Акациево;VID;VID09;VID09-00;3;8;5;1999;NW;15
00182;гр.;Аксаково;VAR;VAR02;VAR02-00;1;3;3;1999;NE;16
00196;с.;Аламовци;SML;SML11;SML11-01;3;7;7;1999;S;17
00206;с.;Албанци;KRZ;KRZ08;KRZ08-17;3;8;5;1999;S;18
00215;с.;Алваново;TGV;TGV35;TGV35-01;3;7;3;1999;NE;19
00223;с.;Алдомировци;SFO;SFO45;SFO45-01;3;5;6;1999;SW;20
00254;с.;Алеко Константиново;PAZ;PAZ19;PAZ19-01;3;5;4;1999;S;21
00237;с.;Алеково;VTR;VTR28;VTR28-01;3;6;2;1999;N;22
00240;с.;Алеково;SLS;SLS01;SLS01-01;3;6;4;1999;N;23
00268;с.;Александрия;DOB;DOB20;DOB20-00;3;8;3;1999;NE;24
00271;с.;Александрово;BGS;BGS17;BGS17-00;3;7;2;1999;SE;25
00285;с.;Александрово;VTR;VTR28;VTR28-02;3;7;2;1999;N;26
00299;с.;Александрово;LOV;LOV18;LOV18-02;3;5;3;1999;NW;27
00309;с.;Александрово;SZR;SZR24;SZR24-01;3;5;5;1999;SE;28
00312;с.;Александрово;TGV;TGV35;TGV35-02;3;7;5;1999;NE;29
00326;с.;Александрово;HKV;HKV34;HKV34-01;3;7;4;1999;S;30
00330;с.;Александрово;SHU;SHU25;SHU25-00;3;8;4;1999;NE;31
00343;с.;Александрово;JAM;JAM22;JAM22-01;3;7;3;1999;SE;32
00360;с.;Александър Стамболийски;DOB;DOB12;DOB12-00;3;8;2;1999;NE;33
83421;с.;Алендарова;PAZ;PAZ08;PAZ08-19;3;7;8;1999;S;34
00388;с.;Алиговска;SML;SML31;SML31-01;3;8;8;1999;S;35
00391;с.;Алино;SFO;SFO39;SFO39-01;3;7;7;1999;SW;36
00401;с.;Алтимир;VRC;VRC08;VRC08-01;3;6;2;1999;NW;37
00415;гр.;Алфатар;SLS;SLS01;SLS01-00;1;4;3;1999;N;38
00429;с.;Алцек;DOB;DOB15;DOB15-02;3;7;4;1999;NE;39
00446;с.;Ангел войвода;HKV;HKV19;HKV19-01;3;6;5;1999;S;40
00432;с.;Ангеларий;DOB;DOB27;DOB27-01;3;7;4;1999;NE;41
00456;с.;Ангелов;GAB;GAB05;GAB05-09;3;8;6;1999;N;42
00480;с.;Анево;PDV;PDV43;PDV43-01;3;5;5;1999;S;43
00494;с.;Антимово;SLS;SLS34;SLS34-00;3;8;3;1999;N;44
00919;с.;Антимово;VID;VID09;VID09-02;3;6;1;1999;NW;45
00504;с.;Антон;SFO;SFO54;SFO54-00;3;5;7;1999;SW;46
00518;гр.;Антоново;TGV;TGV02;TGV02-00;1;4;5;1999;NE;47
00521;с.;Аплаци;VTR;VTR13;VTR13-00;3;8;6;1999;N;48
00549;с.;Априлово;SFO;SFO10;SFO10-01;3;5;6;1999;SW;49
00552;с.;Априлово;SZR;SZR07;SZR07-01;3;7;3;1999;SE;50
00566;с.;Априлово;TGV;TGV24;TGV24-01;3;7;4;1999;NE;51
00571;с.;Априлци;PAZ;PAZ19;PAZ19-02;3;6;4;1999;S;52
00905;с.;Априлци;KRZ;KRZ14;KRZ14-48;3;7;5;1999;S;53
52218;гр.;Априлци;LOV;LOV02;LOV02-00;1;4;6;1999;NW;54
00583;с.;Арбанаси;VTR;VTR04;VTR04-01;3;4;5;1999;N;55
00597;с.;Арда;SML;SML31;SML31-01;3;6;8;1999;S;56
00607;гр.;Ардино;KRZ;KRZ02;KRZ02-00;1;3;6;1999;S;57
00610;с.;Арзан;PER;PER08;PER08-00;3;8;7;1999;SW;58
00624;с.;Арковна;VAR;VAR16;VAR16-00;3;8;2;1999;NE;59
00638;с.;Армените;GAB;GAB05;GAB05-00;3;8;5;1999;N;60
00641;с.;Армянковци;GAB;GAB35;GAB35-00;3;8;6;1999;N;61
00655;с.;Арнаутито;SZR;SZR31;SZR31-01;3;7;4;1999;SE;62
00669;с.;Арпаджик;SML;SML16;SML16-00;3;8;7;1999;S;63
00672;с.;Арчар;VID;VID16;VID16-01;3;5;2;1999;NW;64
00697;с.;Асен;SZR;SZR24;SZR24-02;3;6;5;1999;SE;65
00702;гр.;Асеновград;PDV;PDV01;PDV01-00;1;2;4;1999;S;66
00713;с.;Асеновец;SLV;SLV16;SLV16-01;3;6;3;1999;SE;67
00730;с.;Асеново;VTR;VTR31;VTR31-01;3;6;3;1999;N;68
00744;с.;Асеново;PVN;PVN21;PVN21-16;3;7;2;1999;NW;69
00758;с.;Асеново;JAM;JAM25;JAM25-00;3;8;3;1999;SE;70
00761;с.;Асеновци;PVN;PVN16;PVN16-01;3;5;2;1999;NW;71
00775;с.;Аспарухово;BGS;BGS09;BGS09-01;3;7;2;1999;SE;72
00789;с.;Аспарухово;VAR;VAR16;VAR16-02;3;6;2;1999;NE;73
00792;с.;Аспарухово;MON;MON26;MON26-01;3;7;3;1999;NW;74
00802;с.;Аспарухово;PVN;PVN16;PVN16-02;3;6;2;1999;NW;75
63015;с.;Атия;BGS;BGS21;BGS21-13;3;6;2;1999;SE;76
00816;с.;Атолово;JAM;JAM22;JAM22-02;3;7;3;1999;SE;77
00828;с.;Ауста;KRZ;KRZ21;KRZ21-30;3;7;5;1999;S;78
00833;гр.;Ахелой;BGS;BGS17;BGS17-02;1;4;1;1999;SE;79
00847;с.;Ахматово;PDV;PDV28;PDV28-12;3;7;3;1999;S;80
00864;с.;Ахрянско;KRZ;KRZ02;KRZ02-01;3;8;7;1999;S;81
00878;гр.;Ахтопол;BGS;BGS13;BGS13-01;1;4;1;1999;SE;82
02021;с.;Баба Тонка;TGV;TGV24;TGV24-02;3;8;5;1999;NE;83
02035;с.;Бабек;PDV;PDV07;PDV07-00;3;8;5;1999;S;84
02049;с.;Бабино;KNL;KNL04;KNL04-14;3;6;6;1999;SW;85
02052;с.;Бабинска река;KNL;KNL04;KNL04-00;3;8;6;1999;SW;86
07884;с.;Бабинци;LOV;LOV33;LOV33-14;3;7;7;1999;NW;87
02066;с.;Бабица;PER;PER08;PER08-00;3;8;7;1999;SW;88
02076;с.;Баблон;SML;SML31;SML31-30;3;8;8;1999;S;89
02083;с.;Бабово;RSE;RSE33;RSE33-01;3;6;1;1999;N;90
02097;с.;Бабук;SLS;SLS31;SLS31-02;3;6;2;1999;N;91
02107;с.;Бабяк;BLG;BLG02;BLG02-01;3;6;8;1999;SW;92
02110;с.;Багалевци;VTR;VTR13;VTR13-00;3;8;5;1999;N;93
02124;с.;Багра;KRZ;KRZ16;KRZ16-51;3;8;6;1999;S;94
02138;с.;Багренци;KNL;KNL29;KNL29-01;3;6;5;1999;SW;95
02141;с.;Багрилци;KRZ;KRZ15;KRZ15-02;3;8;6;1999;S;96
02155;с.;Багрянка;KRZ;KRZ21;KRZ21-01;3;7;5;1999;S;97
02169;с.;Бадевци;VTR;VTR13;VTR13-00;3;8;6;1999;N;98
02172;с.;Бадино;KNL;KNL05;KNL05-00;3;8;7;1999;SW;99
02191;с.;Баевци;VTR;VTR13;VTR13-00;3;8;5;1999;N;100
02207;с.;Баевци;GAB;GAB05;GAB05-00;3;8;5;1999;N;101
02213;с.;Баждари;VTR;VTR13;VTR13-00;3;8;7;1999;N;102
02227;с.;Байкал;PVN;PVN10;PVN10-01;3;6;1;1999;NW;103
02230;с.;Байкалско;PER;PER36;PER36-00;3;8;7;1999;SW;104
02244;с.;Байково;SHU;SHU11;SHU11-01;3;7;5;1999;NE;105
02258;с.;Байлово;SFO;SFO10;SFO10-02;3;7;7;1999;SW;106
02261;с.;Бакалите;KRZ;KRZ35;KRZ35-23;3;8;5;1999;S;107
02289;с.;Бакьово;SFO;SFO43;SFO43-00;3;8;7;1999;SW;108
02292;с.;Балабаново;KRZ;KRZ21;KRZ21-02;3;7;5;1999;S;109
02302;с.;Балабанско;LOV;LOV34;LOV34-00;3;7;6;1999;NW;110
02333;с.;Балалея;GAB;GAB12;GAB12-00;3;8;5;1999;N;111
02347;с.;Баланите;GAB;GAB05;GAB05-00;3;8;6;1999;N;112
02350;с.;Баланово;KNL;KNL48;KNL48-01;3;6;5;1999;SW;113
02364;с.;Балван;VTR;VTR04;VTR04-02;3;6;5;1999;N;114
02378;с.;Балванците;GAB;GAB12;GAB12-00;3;8;5;1999;N;115
02381;с.;Балдево;BLG;BLG13;BLG13-01;3;7;6;1999;SW;116
02395;с.;Балей;VID;VID06;VID06-01;3;6;3;1999;NW;117
02405;с.;Балик;DOB;DOB27;DOB27-02;3;7;4;1999;NE;118
02419;с.;Балиновци;GAB;GAB05;GAB05-09;3;8;5;1999;N;119
02436;с.;Балкан;HKV;HKV30;HKV30-12;3;7;5;1999;S;120
02453;с.;Балкан махала;PDV;PDV15;PDV15-00;3;8;8;1999;S;121
02448;с.;Балканец;LOV;LOV34;LOV34-02;3;7;6;1999;NW;122
02467;с.;Балкански;RAZ;RAZ26;RAZ26-01;3;7;4;1999;N;123
02470;с.;Балканци;VTR;VTR31;VTR31-02;3;7;4;1999;N;124
02484;с.;Балканци;DOB;DOB12;DOB12-00;3;8;3;1999;NE;125
02498;с.;Балуци;VTR;VTR13;VTR13-00;3;8;5;1999;N;126
02508;гр.;Балчик;DOB;DOB03;DOB03-00;1;2;2;1999;NE;127
02511;с.;Балша;SOF;SOF46;SOF46-36;3;6;6;1999;SW;128
02539;с.;Бальовци;SFO;SFO20;SFO20-06;3;8;7;1999;SW;129
02542;с.;Балювица;MON;MON02;MON02-00;3;8;4;1999;NW;130
02556;с.;Банари;GAB;GAB12;GAB12-00;3;8;6;1999;N;131
02563;с.;Бангейци;GAB;GAB35;GAB35-00;3;8;5;1999;N;132
02587;с.;Баниска;RSE;RSE08;RSE08-01;3;5;3;1999;N;133
44402;с.;Баните;SML;SML02;SML02-00;3;5;7;1999;S;134
02590;с.;Баница;VRC;VRC10;VRC10-01;3;5;4;1999;NW;135
02600;с.;Баничан;BLG;BLG11;BLG11-01;3;6;6;1999;SW;136
02614;с.;Банище;PER;PER08;PER08-00;3;8;7;1999;SW;137
02628;с.;Банковец;TGV;TGV02;TGV02-00;3;8;5;1999;NE;138
02631;с.;Банковци;GAB;GAB05;GAB05-00;3;8;6;1999;N;139
02645;с.;Банкя;PER;PER51;PER51-00;3;8;6;1999;SW;140
02659;гр.;Банкя;SOF;SOF46;SOF46-00;1;3;6;1999;SW;141
02662;с.;Баново;VAR;VAR26;VAR26-00;3;7;5;1999;NE;142
02676;гр.;Банско;BLG;BLG01;BLG01-00;1;3;7;1999;SW;143
02689;с.;Банчовци;SFO;SFO20;SFO20-00;3;8;7;1999;SW;144
02693;с.;Баня;BLG;BLG37;BLG37-01;3;5;7;1999;SW;145
02703;с.;Баня;BGS;BGS15;BGS15-01;3;7;3;1999;SE;146
02717;с.;Баня;PAZ;PAZ20;PAZ20-01;3;6;5;1999;S;147
02720;гр.;Баня;PDV;PDV13;PDV13-01;1;4;4;1999;S;148
02734;с.;Баня;SLV;SLV16;SLV16-02;3;5;4;1999;SE;149
02748;с.;Бараково;KNL;KNL27;KNL27-01;3;5;5;1999;SW;150
02751;с.;Бараци;KRZ;KRZ15;KRZ15-60;3;7;4;1999;S;151
02779;с.;Барутин;SML;SML10;SML10-01;3;5;8;1999;S;152
02796;с.;Басарбово;RSE;RSE27;RSE27-01;3;5;1;1999;N;153
02806;с.;Баскалци;BLG;BLG33;BLG33-00;3;8;7;1999;SW;154
02810;с.;Бата;BGS;BGS17;BGS17-03;3;6;3;1999;SE;155
02823;с.;Батак;VTR;VTR22;VTR22-01;3;6;3;1999;N;156
02837;гр.;Батак;PAZ;PAZ03;PAZ03-00;1;4;7;1999;S;157
72223;гр.;Батановци;PER;PER32;PER32-18;1;4;6;1999;SW;158
02854;с.;Батин;RSE;RSE03;RSE03-01;3;6;2;1999;N;159
02868;с.;Батишница;RSE;RSE08;RSE08-02;3;5;4;1999;N;160
02871;с.;Батово;DOB;DOB15;DOB15-03;3;6;2;1999;NE;161
02885;с.;Батошево;GAB;GAB29;GAB29-02;3;6;4;1999;N;162
02899;с.;Батулия;SFO;SFO43;SFO43-00;3;7;6;1999;SW;163
02909;с.;Батулци;LOV;LOV38;LOV38-01;3;7;5;1999;NW;164
02912;с.;Баурене;VRC;VRC21;VRC21-01;3;7;3;1999;NW;165
02926;с.;Бахалин;SFO;SFO45;SFO45-00;3;8;6;1999;SW;166
02935;с.;Баховица;LOV;LOV18;LOV18-03;3;6;4;1999;NW;167
02943;с.;Бахреци;GAB;GAB35;GAB35-00;3;8;6;1999;N;168
02957;с.;Бацова махала;PVN;PVN21;PVN21-02;3;6;1;1999;NW;169
02960;с.;Бачево;BLG;BLG37;BLG37-02;3;5;7;1999;SW;170
02974;с.;Бачково;PDV;PDV01;PDV01-00;3;6;5;1999;S;171
02991;с.;Башево;KRZ;KRZ02;KRZ02-02;3;7;7;1999;S;172
03006;с.;Бащино;KRZ;KRZ16;KRZ16-01;3;7;5;1999;S;173
03017;с.;Бащино;SLS;SLS07;SLS07-01;3;7;3;1999;N;174
03023;с.;Бащино;SZR;SZR23;SZR23-00;3;8;3;1999;SE;175
03037;с.;Баячево;TGV;TGV35;TGV35-03;3;6;4;1999;NE;176
03040;с.;Бдинци;DOB;DOB15;DOB15-00;3;8;4;1999;NE;177
03054;с.;Беброво;VTR;VTR13;VTR13-01;3;7;5;1999;N;178
03068;с.;Беглеж;PVN;PVN24;PVN24-01;3;6;4;1999;NW;179
03085;с.;Бегово;PDV;PDV12;PDV12-01;3;6;4;1999;S;180
03099;с.;Бегуновци;PER;PER08;PER08-04;3;7;7;1999;SW;181
03109;с.;Бегунци;PDV;PDV13;PDV13-02;3;7;5;1999;S;182
03112;с.;Беден;SML;SML09;SML09-01;3;7;8;1999;S;183
03126;с.;Беджене;SHU;SHU22;SHU22-00;3;8;5;1999;NE;184
03143;с.;Бежаново;LOV;LOV19;LOV19-01;3;5;3;1999;NW;185
03157;с.;Бежаново;DOB;DOB12;DOB12-00;3;8;2;1999;NE;186
03174;с.;Безводица;DOB;DOB03;DOB03-01;3;6;4;1999;NE;187
03188;с.;Безводно;KRZ;KRZ35;KRZ35-00;3;8;7;1999;S;188
03191;с.;Безден;SFO;SFO26;SFO26-01;3;6;6;1999;SW;189
03201;с.;Безденица;MON;MON29;MON29-00;3;7;3;1999;NW;190
03215;с.;Безмер;DOB;DOB27;DOB27-03;3;5;4;1999;NE;191
03229;с.;Безмер;JAM;JAM25;JAM25-02;3;5;3;1999;SE;192
03232;с.;Бейковци;VTR;VTR13;VTR13-00;3;8;6;1999;N;193
03246;с.;Бекриите;GAB;GAB05;GAB05-00;3;8;6;1999;N;194
03561;с.;Бел камен;BLG;BLG53;BLG53-02;3;6;7;1999;SW;195
03263;с.;Бела;VID;VID16;VID16-00;3;8;4;1999;NW;196
03280;с.;Бела Рада;VID;VID09;VID09-03;3;7;5;1999;NW;197
03277;с.;Беланица;PER;PER36;PER36-00;3;8;6;1999;SW;198
03294;с.;Беласица;BLG;BLG33;BLG33-02;3;5;7;1999;SW;199
03304;с.;Белащица;PDV;PDV26;PDV26-01;3;5;4;1999;S;200
03318;с.;Белгун;DOB;DOB17;DOB17-01;3;7;3;1999;NE;201
03321;с.;Белев дол;SML;SML31;SML31-00;3;8;7;1999;S;202
03335;с.;Белевехчево;BLG;BLG40;BLG40-00;3;8;5;1999;SW;203
03349;с.;Белеврен;BGS;BGS06;BGS06-00;3;8;5;1999;SE;204
03366;гр.;Белене;PVN;PVN03;PVN03-00;1;3;1;1999;NW;205
03373;с.;Беленци;LOV;LOV19;LOV19-02;3;7;5;1999;NW;206
03383;с.;Бели брег;MON;MON04;MON04-00;3;8;3;1999;NW;207
03397;с.;Бели брод;MON;MON04;MON04-11;3;7;2;1999;NW;208
03407;с.;Бели бряг;SZR;SZR27;SZR27-00;3;8;3;1999;SE;209
03410;с.;Бели вир;KRZ;KRZ35;KRZ35-02;3;6;6;1999;S;210
03424;с.;Бели дол;HKV;HKV11;HKV11-04;3;8;3;1999;S;211
03438;с.;Бели извор;VRC;VRC10;VRC10-02;3;6;4;1999;NW;212
03441;с.;Бели Искър;SFO;SFO39;SFO39-02;3;6;8;1999;SW;213
24092;с.;Бели Лом;RAZ;RAZ17;RAZ17-07;3;6;5;1999;N;214
03486;с.;Бели Осъм;LOV;LOV34;LOV34-03;3;6;6;1999;NW;215
03499;с.;Бели пласт;KRZ;KRZ16;KRZ16-02;3;6;5;1999;S;216
03455;с.;Белила;BGS;BGS06;BGS06-00;3;8;2;1999;SE;217
03469;с.;Белимел;MON;MON36;MON36-10;3;7;5;1999;NW;218
03472;с.;Белинци;RAZ;RAZ14;RAZ14-01;3;6;4;1999;N;219
03504;гр.;Белица;BLG;BLG02;BLG02-00;1;4;7;1999;SW;220
03513;с.;Белица;GAB;GAB35;GAB35-00;3;8;5;1999;N;221
03527;с.;Белица;SLS;SLS34;SLS34-02;3;6;3;1999;N;222
03530;с.;Белица;PDV;PDV15;PDV15-01;3;7;7;1999;S;223
03544;с.;Белица;HKV;HKV17;HKV17-01;3;7;3;1999;S;224
07960;с.;Белица;SFO;SFO20;SFO20-00;3;8;7;1999;SW;225
03558;с.;Белиш;LOV;LOV34;LOV34-04;3;7;6;1999;NW;226
03664;с.;Бело поле;BLG;BLG03;BLG03-02;3;5;6;1999;SW;227
03678;с.;Бело поле;VID;VID33;VID33-06;3;6;3;1999;NW;228
03575;с.;Беловец;RAZ;RAZ16;RAZ16-01;3;5;3;1999;N;229
03589;с.;Беловица;PDV;PDV37;PDV37-01;3;7;5;1999;S;230
03592;гр.;Белово;PAZ;PAZ04;PAZ04-00;1;3;4;1999;S;231
03602;с.;Белоградец;VAR;VAR08;VAR08-01;3;5;4;1999;NE;232
03616;гр.;Белоградчик;VID;VID01;VID01-00;1;3;6;1999;NW;233
27440;с.;Белодол;BGS;BGS17;BGS17-08;3;6;4;1999;SE;234
03620;с.;Белозем;PDV;PDV25;PDV25-01;3;4;3;1999;S;235
03633;с.;Белокопитово;SHU;SHU30;SHU30-01;3;7;4;1999;NE;236
03647;с.;Беломорци;TGV;TGV22;TGV22-01;3;6;5;1999;NE;237
03650;с.;Беломъжите;GAB;GAB05;GAB05-00;3;8;5;1999;N;238
03681;с.;Белополци;HKV;HKV11;HKV11-01;3;7;6;1999;S;239
03695;с.;Белополяне;HKV;HKV11;HKV11-02;3;7;3;1999;S;240
03705;с.;Белопопци;SFO;SFO10;SFO10-03;3;6;6;1999;SW;241
03719;гр.;Белослав;VAR;VAR04;VAR04-00;1;3;1;1999;NE;242
03722;с.;Белотинци;MON;MON29;MON29-00;3;7;4;1999;NW;243
03745;с.;Белцов;RSE;RSE37;RSE37-01;3;6;1;1999;N;244
03753;с.;Белчевци;VTR;VTR04;VTR04-09;3;8;6;1999;N;245
03767;с.;Белчин;SFO;SFO39;SFO39-03;3;6;7;1999;SW;246
03770;с.;Белчински бани;SFO;SFO39;SFO39-03;3;8;7;1999;SW;247
03784;с.;Бельово;BLG;BLG40;BLG40-00;3;8;7;1999;SW;248
03798;с.;Беляковец;VTR;VTR04;VTR04-03;3;5;5;1999;N;249
03808;с.;Беляново;RSE;RSE37;RSE37-02;3;8;1;1999;N;250
03811;с.;Бенковски;VAR;VAR01;VAR01-01;3;6;4;1999;NE;251
03825;с.;Бенковски;KRZ;KRZ14;KRZ14-02;3;5;5;1999;S;252
03839;с.;Бенковски;PDV;PDV17;PDV17-01;3;5;3;1999;S;253
03842;с.;Бенковски;SFO;SFO56;SFO56-00;3;7;6;1999;SW;254
03856;с.;Бенковски;SZR;SZR31;SZR31-00;3;7;3;1999;SE;255
03860;с.;Бенковски;DOB;DOB15;DOB15-05;3;6;4;1999;NE;256
03873;с.;Берайнци;PER;PER51;PER51-00;3;8;7;1999;SW;257
03887;с.;Беренде;PER;PER19;PER19-00;3;8;7;1999;SW;258
03890;с.;Беренде;SFO;SFO16;SFO16-00;3;8;6;1999;SW;259
03900;с.;Беренде извор;SFO;SFO16;SFO16-00;3;8;6;1999;SW;260
03914;с.;Бериево;GAB;GAB29;GAB29-03;3;7;4;1999;N;261
03928;гр.;Берковица;MON;MON02;MON02-00;1;3;5;1999;NW;262
03931;с.;Берковски;TGV;TGV24;TGV24-00;3;8;5;1999;NE;263
03945;с.;Берковци;VTR;VTR13;VTR13-00;3;8;6;1999;N;264
03959;с.;Бероново;BGS;BGS23;BGS23-00;3;8;5;1999;SE;265
03962;с.;Берсин;KNL;KNL29;KNL29-02;3;7;6;1999;SW;266
03976;с.;Беслен;BLG;BLG52;BLG52-02;3;6;6;1999;SW;267
03986;с.;Беснурка;KRZ;KRZ35;KRZ35-36;3;8;6;1999;S;268
03993;с.;Биволаре;PVN;PVN10;PVN10-02;3;6;2;1999;NW;269
04008;с.;Биволяне;KRZ;KRZ21;KRZ21-03;3;7;6;1999;S;270
04011;с.;Бижовци;VTR;VTR04;VTR04-00;3;8;5;1999;N;271
04025;с.;Бижовци;GAB;GAB35;GAB35-00;3;8;6;1999;N;272
04039;с.;Биково;SLV;SLV20;SLV20-01;3;7;3;1999;SE;273
04042;с.;Билинци;PER;PER08;PER08-00;3;8;7;1999;SW;274
04056;с.;Билка;BGS;BGS18;BGS18-01;3;6;3;1999;SE;275
04068;с.;Билкини;GAB;GAB12;GAB12-00;3;8;5;1999;N;276
04090;с.;Било;DOB;DOB17;DOB17-00;3;8;2;1999;NE;277
04100;с.;Билянска;SML;SML31;SML31-00;3;8;8;1999;S;278
04114;с.;Бинкос;SLV;SLV20;SLV20-02;3;7;3;1999;SE;279
07836;с.;Биркова;PAZ;PAZ08;PAZ08-02;3;7;8;1999;S;280
04128;с.;Бисер;HKV;HKV33;HKV33-01;3;5;2;1999;S;281
04131;с.;Бисерци;RAZ;RAZ16;RAZ16-02;3;5;3;1999;N;282
04145;с.;Бистра;SLS;SLS01;SLS01-02;3;7;4;1999;N;283
04159;с.;Бистра;TGV;TGV35;TGV35-04;3;7;3;1999;NE;284
04162;с.;Бистренци;RSE;RSE04;RSE04-10;3;7;4;1999;N;285
04176;с.;Бистрец;BGS;BGS06;BGS06-00;3;7;3;1999;SE;286
04193;с.;Бистрец;DOB;DOB20;DOB20-03;3;7;3;1999;NE;287
04203;с.;Бистрилица;MON;MON02;MON02-02;3;7;4;1999;NW;288
04217;с.;Бистрица;BLG;BLG03;BLG03-03;3;8;6;1999;SW;289
04220;с.;Бистрица;KNL;KNL48;KNL48-02;3;5;7;1999;SW;290
04234;с.;Бистрица;SOF;SOF46;SOF46-54;3;4;7;1999;SW;291
04248;с.;Бистроглед;KRZ;KRZ02;KRZ02-35;3;8;6;1999;S;292
04251;с.;Благово;MON;MON29;MON29-04;3;6;4;1999;NW;293
04265;с.;Благово;SHU;SHU30;SHU30-25;3;8;3;1999;NE;294
04279;гр.;Благоевград;BLG;BLG03;BLG03-00;1;1;5;1999;SW;295
04282;с.;Благоево;VTR;VTR31;VTR31-03;3;7;3;1999;N;296
04296;с.;Благоево;RAZ;RAZ26;RAZ26-02;3;6;4;1999;N;297
04306;с.;Благун;KRZ;KRZ15;KRZ15-50;3;8;5;1999;S;298
04314;с.;Блажиево;KNL;KNL05;KNL05-02;3;6;5;1999;SW;299
04323;с.;Блатец;KNL;KNL29;KNL29-00;3;8;8;1999;SW;300
04337;с.;Блатец;SLV;SLV20;SLV20-03;3;5;3;1999;SE;301
04340;с.;Блатешница;PER;PER19;PER19-00;3;8;6;1999;SW;302
04354;с.;Блатино;KNL;KNL48;KNL48-03;3;7;6;1999;SW;303
04368;с.;Блатница;PAZ;PAZ32;PAZ32-01;3;7;5;1999;S;304
04371;с.;Блато;KNL;KNL04;KNL04-00;3;8;6;1999;SW;305
04399;с.;Блатска;BLG;BLG52;BLG52-03;3;6;5;1999;SW;306
04409;с.;Бленика;KRZ;KRZ16;KRZ16-52;3;7;5;1999;S;307
04412;с.;Близнак;BGS;BGS12;BGS12-00;3;8;5;1999;SE;308
04426;с.;Близнаци;VAR;VAR01;VAR01-02;3;5;2;1999;NE;309
04430;с.;Близнаци;SHU;SHU11;SHU11-02;3;7;5;1999;NE;310
04443;с.;Близнец;SLV;SLV24;SLV24-00;3;8;4;1999;SE;311
04457;с.;Блъсково;VAR;VAR24;VAR24-01;3;5;1;1999;NE;312
04460;с.;Блъсковци;VTR;VTR13;VTR13-00;3;8;5;1999;N;313
04474;с.;Боазът;GAB;GAB29;GAB29-00;3;8;6;1999;N;314
04488;с.;Бобевци;GAB;GAB05;GAB05-00;3;8;5;1999;N;315
04491;с.;Бобешино;KNL;KNL29;KNL29-00;3;8;8;1999;SW;316
04501;гр.;Бобов дол;KNL;KNL04;KNL04-00;1;3;6;1999;SW;317
04515;с.;Бобовец;DOB;DOB03;DOB03-02;3;8;4;1999;NE;318
04529;с.;Бобораци;PER;PER36;PER36-00;3;8;6;1999;SW;319
04532;гр.;Бобошево;KNL;KNL05;KNL05-00;1;4;5;1999;SW;320
04546;с.;Бов;SFO;SFO43;SFO43-00;3;8;7;1999;SW;321
14461;с.;Бов;SFO;SFO43;SFO43-08;3;5;7;1999;SW;322
07925;с.;Богатино;KRZ;KRZ02;KRZ02-04;3;8;6;1999;S;323
04555;с.;Богатово;GAB;GAB29;GAB29-05;3;6;4;1999;N;324
04563;с.;Богдан;PDV;PDV13;PDV13-03;3;5;5;1999;S;325
04580;с.;Богдан;DOB;DOB15;DOB15-06;3;7;4;1999;NE;326
04594;с.;Богданица;PDV;PDV28;PDV28-02;3;6;3;1999;S;327
04604;с.;Богданлия;SFO;SFO17;SFO17-00;3;8;6;1999;SW;328
04618;с.;Богданов дол;PER;PER32;PER32-01;3;6;7;1999;SW;329
04621;с.;Богданово;BGS;BGS06;BGS06-00;3;8;4;1999;SE;330
04635;с.;Богданово;SLV;SLV16;SLV16-33;3;7;3;1999;SE;331
04649;с.;Богдановци;SFO;SFO20;SFO20-00;3;8;7;1999;SW;332
04652;с.;Богданско;VTR;VTR13;VTR13-01;3;8;5;1999;N;333
04666;с.;Богданци;RAZ;RAZ29;RAZ29-01;3;6;5;1999;N;334
04670;с.;Богданци;SLS;SLS07;SLS07-02;3;6;3;1999;N;335
04683;с.;Богданчовци;GAB;GAB05;GAB05-00;3;8;6;1999;N;336
04697;с.;Богойна;PER;PER51;PER51-00;3;8;7;1999;SW;337
04707;с.;Боголин;BLG;BLG42;BLG42-01;3;6;6;1999;SW;338
04724;с.;Богомил;HKV;HKV33;HKV33-00;3;8;5;1999;S;339
