ekatte;t_v_m;name;oblast;obstina;kmetstvo;kind;category;altitude;document;tsb;abc
47603;с.;Медникарово;SZR;SZR07;SZR07-05;3;7;3;1999;SE;2985
47617;с.;Медовене;RAZ;RAZ16;RAZ16-07;3;7;4;1999;N;2986
47620;с.;Медовец;VAR;VAR16;VAR16-09;3;5;4;1999;NE;2987
47634;с.;Медовина;TGV;TGV24;TGV24-24;3;6;5;1999;NE;2988
47648;с.;Медовница;VID;VID16;VID16-15;3;7;4;1999;NW;2989
47651;с.;Медово;BGS;BGS17;BGS17-14;3;6;3;1999;SE;2990
47665;с.;Медово;SZR;SZR04;SZR04-10;3;7;4;1999;SE;2991
47679;с.;Медово;DOB;DOB15;DOB15-00;3;8;4;1999;NE;2992
47682;с.;Межда;JAM;JAM25;JAM25-47;3;7;3;1999;SE;2993
47696;с.;Межден;SLS;SLS10;SLS10-10;3;6;4;1999;N;2994
47706;с.;Междени;GAB;GAB05;GAB05-00;3;8;6;1999;N;2995
47714;гр.;Мездра;VRC;VRC27;VRC27-00;1;3;4;1999;NW;2996
47723;с.;Мездрея;MON;MON02;MON02-12;3;7;5;1999;NW;2997
47737;с.;Мезек;HKV;HKV28;HKV28-16;3;7;3;1999;S;2998
47754;гр.;Мелник;BLG;BLG40;BLG40-28;1;5;5;1999;SW;2999
47768;с.;Мелница;JAM;JAM07;JAM07-14;3;7;3;1999;SE;3000
47771;с.;Меляне;MON;MON14;MON14-00;3;7;4;1999;NW;3001
47785;с.;Менгишево;SHU;SHU10;SHU10-09;3;7;4;1999;NE;3002
47799;с.;Мендово;BLG;BLG33;BLG33-27;3;8;5;1999;SW;3003
47812;с.;Мененкьово;PAZ;PAZ04;PAZ04-04;3;5;4;1999;S;3004
47826;с.;Мерданя;VTR;VTR20;VTR20-05;3;6;3;1999;N;3005
47843;гр.;Меричлери;HKV;HKV09;HKV09-17;1;5;3;1999;S;3006
47857;с.;Места;BLG;BLG01;BLG01-04;3;6;8;1999;SW;3007
47860;с.;Метлика;KRZ;KRZ15;KRZ15-28;3;7;5;1999;S;3008
47874;с.;Метличина;VAR;VAR09;VAR09-14;3;7;3;1999;NE;3009
47888;с.;Метличина;KRZ;KRZ14;KRZ14-52;3;7;5;1999;S;3010
47891;с.;Метличка;KRZ;KRZ14;KRZ14-26;3;8;6;1999;S;3011
47901;с.;Методиево;DOB;DOB15;DOB15-36;3;7;4;1999;NE;3012
47915;с.;Методиево;SHU;SHU10;SHU10-10;3;7;5;1999;NE;3013
47929;с.;Метохия;KNL;KNL50;KNL50-00;3;8;8;1999;SW;3014
47963;с.;Мечка;PVN;PVN24;PVN24-14;3;6;3;1999;NW;3015
47977;с.;Мечка;RSE;RSE13;RSE13-04;3;6;2;1999;N;3016
47980;с.;Мечкарево;SLV;SLV20;SLV20-27;3;6;3;1999;SE;3017
47994;с.;Мечковица;GAB;GAB05;GAB05-00;3;8;6;1999;N;3018
48009;с.;Мечковци;SFO;SFO20;SFO20-00;3;8;7;1999;SW;3019
48012;с.;Мечкул;BLG;BLG44;BLG44-00;3;8;7;1999;SW;3020
48026;с.;Мечово;TGV;TGV02;TGV02-00;3;8;3;1999;NE;3021
48037;с.;Мещица;PER;PER32;PER32-13;3;6;7;1999;SW;3022
48043;гр.;Мизия;VRC;VRC28;VRC28-00;1;4;2;1999;NW;3023
48057;с.;Мийковци;VTR;VTR13;VTR13-00;3;8;6;1999;N;3024
48060;с.;Микре;LOV;LOV36;LOV36-09;3;7;5;1999;NW;3025
49686;с.;Микрево;BLG;BLG49;BLG49-12;3;5;3;1999;SW;3026
48074;с.;Миладиново;KRZ;KRZ16;KRZ16-19;3;6;5;1999;S;3027
48088;с.;Миладиновци;DOB;DOB15;DOB15-00;3;8;4;1999;NE;3028
48091;с.;Миладиновци;TGV;TGV35;TGV35-53;3;7;5;1999;NE;3029
48101;с.;Миладиновци;JAM;JAM25;JAM25-48;3;7;3;1999;SE;3030
48129;с.;Миланово;SFO;SFO43;SFO43-23;3;6;6;1999;SW;3031
48132;с.;Миланово;SHU;SHU23;SHU23-05;3;6;3;1999;NE;3032
48146;с.;Миле;SML;SML16;SML16-00;3;8;8;1999;S;3033
48152;с.;Милево;PDV;PDV28;PDV28-07;3;6;3;1999;S;3034
48177;с.;Милевци;GAB;GAB35;GAB35-00;3;8;6;1999;N;3035
48194;с.;Милино;TGV;TGV02;TGV02-00;3;8;6;1999;NE;3036
48204;с.;Милковица;PVN;PVN08;PVN08-09;3;5;3;1999;NW;3037
48218;с.;Милково;SML;SML31;SML31-00;3;8;8;1999;S;3038
48235;с.;Милковци;GAB;GAB05;GAB05-00;3;8;5;1999;N;3039
48249;с.;Милкьовци;PER;PER51;PER51-00;3;8;7;1999;SW;3040
48252;с.;Милославци;PER;PER51;PER51-00;3;8;7;1999;SW;3041
48266;с.;Милчина лъка;VID;VID15;VID15-00;3;8;3;1999;NW;3042
48278;с.;Миндя;VTR;VTR04;VTR04-20;3;7;3;1999;N;3043
48283;с.;Миневци;VTR;VTR13;VTR13-00;3;8;5;1999;N;3044
48297;с.;Минерални бани;HKV;HKV19;HKV19-00;3;4;5;1999;S;3045
48307;с.;Минзухар;KRZ;KRZ35;KRZ35-14;3;6;5;1999;S;3046
48324;с.;Мирково;SFO;SFO56;SFO56-00;3;5;6;1999;SW;3047
48338;с.;Мировец;TGV;TGV35;TGV35-00;3;8;5;1999;NE;3048
48341;с.;Мирово;VTR;VTR31;VTR31-12;3;6;4;1999;N;3049
48369;с.;Мирово;SFO;SFO20;SFO20-11;3;6;7;1999;SW;3050
48372;с.;Мирово;SZR;SZR04;SZR04-11;3;6;3;1999;SE;3051
48386;с.;Мировци;SHU;SHU22;SHU22-07;3;6;5;1999;NE;3052
48393;с.;Мировяне;SOF;SOF46;SOF46-43;3;5;6;1999;SW;3053
48409;с.;Миролюбово;BGS;BGS04;BGS04-00;3;8;3;1999;SE;3054
48430;с.;Мирчовци;VTR;VTR13;VTR13-00;3;8;5;1999;N;3055
48444;с.;Мирянци;PAZ;PAZ19;PAZ19-16;3;6;3;1999;S;3056
48458;с.;Митино;BLG;BLG33;BLG33-28;3;7;3;1999;SW;3057
48461;с.;Митовска;SML;SML16;SML16-13;3;7;7;1999;S;3058
48475;с.;Митровци;MON;MON36;MON36-00;3;7;5;1999;NW;3059
48492;с.;Михайлово;VRC;VRC35;VRC35-04;3;6;2;1999;NW;3060
48502;с.;Михайлово;SZR;SZR31;SZR31-27;3;7;3;1999;SE;3061
48516;с.;Михайловци;GAB;GAB05;GAB05-00;3;8;5;1999;N;3062
48524;с.;Михалич;VAR;VAR09;VAR09-15;3;6;4;1999;NE;3063
48533;с.;Михалич;HKV;HKV28;HKV28-05;3;8;5;1999;S;3064
48547;с.;Михалково;SML;SML09;SML09-08;3;5;6;1999;S;3065
48550;с.;Михалци;VTR;VTR22;VTR22-11;3;6;2;1999;N;3066
48564;с.;Михилци;PDV;PDV37;PDV37-05;3;7;5;1999;S;3067
48578;с.;Михнево;BLG;BLG33;BLG33-29;3;5;3;1999;SW;3068
48581;с.;Миховци;GAB;GAB35;GAB35-00;3;8;5;1999;N;3069
48605;с.;Мичковци;GAB;GAB05;GAB05-00;3;8;5;1999;N;3070
48622;с.;Мишевско;KRZ;KRZ08;KRZ08-09;3;6;6;1999;S;3071
48636;с.;Мишеморков хан;VTR;VTR04;VTR04-00;3;8;5;1999;N;3072
48653;с.;Млада гвардия;VAR;VAR08;VAR08-04;3;7;3;1999;NE;3073
48667;с.;Младежко;BGS;BGS12;BGS12-07;3;8;3;1999;SE;3074
48670;с.;Младен;GAB;GAB29;GAB29-21;3;7;5;1999;N;3075
